math;gender;ethnicity;bmi;siblings;income;momeduc;momwork;school;schoolissues;tvmfb;tvmfa;tvsat;tvsun;computer
91.62594;male;white;25.92;1;8400;12 yrs;>= 35h;public;1;1;2;4;2;0
105.0732;male;white;30.25;1;24000;12 yrs;>= 35h;public;1;0;1;1;5;1
104.9078;male;white;16.83;1;59000;some college;<35h;other private;1;1;1;4;4;1
102.3983;male;white;19.69;1;30000;college;>= 35h;other private;0;3;1;3;3;1
109.5767;female;white;16.55;2;140000;college;>= 35h;public;0;1;1;2;2;1
106.0945;male;white;17.92;2;45000;12 yrs;no work;catholic;0;1;2;3;3;1
94.65582;female;white;22.68;1;75000;9-11 yrs;>= 35h;other private;1;0;1;4;4;1
94.07708;male;white;22.48;1;65000;12 yrs;<35h;public;0;1;2;3;3;1
107.7091;female;white;16.98;1;42000;12 yrs;no work;public;0;0;4;7;7;1
94.70445;female;white;23.55;2;68000;college;>= 35h;catholic;0;0;0;2;1;1
105.5255;female;white;16.15;1;70000;some college;<35h;public;0;0;0;2;1;1
105.4282;female;white;15.98;1;250000;college;<35h;other private;0;0;0;0;0;1
75.86375;male;white;15.52;2;8400;9-11 yrs;>= 35h;public;1;0;2;2;4;0
100.3022;female;white;21.74;1;50000;college;no work;other private;1;2;2;4;3;1
109.7031;male;white;19.16;1;75000;college;>= 35h;public;1;1;1;4;4;1
72.55179;male;white;19.3;1;11000;12 yrs;no work;public;0;1;0;0;0;1
109.0271;female;white;16.36;2;40000;college;<35h;public;1;0;0;3;0;1
105.0051;male;white;27.28;0;30000;12 yrs;>= 35h;catholic;0;3;0;2;2;1
110.8898;female;white;23.34;0;70000;12 yrs;>= 35h;public;1;0;1;1;1;1
97.88024;female;white;24.16;3;80000;12 yrs;<35h;public;1;1;1;3;2;1
107.0623;male;white;15.02;0;80000;some college;no work;public;0;1;1;2;1;1
111.0113;female;white;18.64;1;98000;college;>= 35h;other private;0;0;0;0;0;1
109.1244;male;white;16.69;2;36000;12 yrs;>= 35h;catholic;1;0;0;1;0;1
98.67297;male;white;22;0;95000;12 yrs;>= 35h;catholic;1;0;0;2;1;1
104.971;male;white;20.38;1;110000;some college;<35h;catholic;0;0;0;2;2;1
103.9546;male;white;16.77;1;85000;12 yrs;>= 35h;public;1;1;1;3;3;1
109.1438;female;white;18.58;2;70000;college;<35h;catholic;0;0;1;2;2;1
84.73454;male;white;17.86;3;25000;9-11 yrs;>= 35h;public;1;1;0;2;2;0
98.79942;female;white;24.08;1;60000;some college;>= 35h;public;1;0;1;4;4;1
97.3939;male;white;17.48;1;35000;college;no work;public;0;1;1;3;2;1
